ID,Year_Birth,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
5524,1957,Single,58138.0,0,0,635,88,546,172,88,3,8,10,4,7
2174,1954,Single,46344.0,1,1,11,1,6,2,1,2,1,1,2,5
4141,1965,Together,71613.0,0,0,426,49,127,111,21,1,8,2,10,4
6182,1984,Together,26646.0,1,0,11,4,20,10,3,2,2,0,4,6
5324,1981,Married,58293.0,1,0,173,43,118,46,27,5,5,3,6,5
7446,1967,Together,62513.0,0,1,520,42,98,0,42,2,6,4,10,6
965,1971,Divorced,55635.0,0,1,235,65,164,50,49,4,7,3,7,6
6177,1985,Married,33454.0,1,0,76,10,56,3,1,2,4,0,4,8
4855,1974,Together,30351.0,1,0,14,0,24,3,3,1,3,0,2,9
5899,1950,Together,5648.0,1,1,28,0,6,1,1,1,1,0,0,20
1994,1983,Married,,1,0,5,5,6,0,2,1,1,0,2,7
387,1976,Married,7500.0,0,0,6,16,11,11,1,1,2,0,3,8
2125,1959,Divorced,63033.0,0,0,194,61,480,225,112,1,3,4,8,2
8180,1952,Divorced,59354.0,1,1,233,2,53,3,5,3,6,1,5,6
2569,1987,Married,17323.0,0,0,3,14,17,6,1,1,1,0,3,8
2114,1946,Single,82800.0,0,0,1006,22,115,59,68,1,7,6,12,3
9736,1980,Married,41850.0,1,1,53,5,19,2,13,3,3,0,3,8
4939,1946,Together,37760.0,0,0,84,5,38,150,12,2,4,1,6,7
6565,1949,Married,76995.0,0,1,1012,80,498,0,16,2,11,4,9,5
2278,1985,Single,33812.0,1,0,4,17,19,30,24,2,2,1,3,6
9360,1982,Married,37040.0,0,0,86,2,73,69,38,1,4,2,5,8
5376,1979,Married,2447.0,1,0,1,1,1725,1,1,15,0,28,0,1
1993,1949,Married,58607.0,0,1,867,0,86,0,0,3,2,3,9,8
4047,1954,Married,65324.0,0,1,384,0,102,21,32,3,6,2,9,4
1409,1951,Together,40689.0,0,1,270,3,27,39,6,7,7,1,5,8
7892,1969,Single,18589.0,0,0,6,4,25,15,12,2,2,1,3,7
2404,1976,Married,53359.0,1,1,173,4,30,3,6,4,5,1,4,7
5255,1986,Single,,1,0,5,1,3,3,263,0,27,0,0,1
9422,1989,Married,38360.0,1,0,36,2,42,20,21,2,2,1,4,3
1966,1965,Married,84618.0,0,0,684,100,801,21,66,1,6,9,10,2
6864,1989,Divorced,10979.0,0,0,8,4,10,2,2,2,3,0,3,5
3033,1963,Together,38620.0,0,0,112,17,44,34,22,1,2,5,3,3
5710,1970,Together,40548.0,0,1,110,0,5,2,0,2,2,1,4,5
7373,1952,Divorced,46610.0,0,2,96,12,96,33,22,6,4,1,6,6
8755,1946,Married,68657.0,0,0,482,34,471,119,68,1,3,5,9,7
10738,1951,Single,49389.0,1,1,40,0,19,2,1,1,2,0,3,7
4339,1970,Married,67353.0,0,1,702,17,151,0,8,5,5,6,12,2
10755,1976,Married,23718.0,1,0,6,3,14,15,7,3,3,1,2,7
8595,1973,Widow,42429.0,0,1,55,0,6,2,0,2,1,1,3,5
2968,1943,Divorced,48948.0,0,0,437,8,206,160,49,2,7,10,5,6
8601,1980,Married,80011.0,0,1,421,76,536,82,178,2,8,6,5,4
503,1985,Married,20559.0,1,0,13,1,29,3,0,2,2,0,3,8
8430,1957,Together,21994.0,0,1,9,0,6,3,1,1,0,0,3,5
7281,1959,Single,,0,0,81,11,50,3,2,1,1,3,4,2
2139,1975,Married,7500.0,1,0,3,1,10,3,2,3,2,0,3,5
1371,1976,Single,79941.0,0,0,123,164,266,227,30,1,2,4,9,1
9909,1996,Married,7500.0,0,0,3,18,14,15,22,3,3,1,3,9
7286,1968,Together,41728.0,1,0,13,6,15,3,5,1,2,0,2,10
7244,1951,Single,,2,1,48,5,48,6,10,3,2,1,4,6
6566,1954,Married,72550.0,1,1,826,50,317,50,38,9,5,2,12,8
8614,1957,Widow,65486.0,0,1,245,19,125,37,67,1,4,2,10,2
