height,weight,waistline
174.396,72.102,79.37870000000001
179.656,81.255,80.6649
175.079,76.207,80.31660000000001
180.804,81.354,80.8794
177.448,78.768,80.3499
172.244,70.712,79.6621
175.699,74.308,80.4645
174.932,74.145,80.23859999999999
174.771,74.646,79.92490000000001
175.699,74.308,80.4645
175.734,75.112,79.7778
172.22,70.685,79.7649
177.82,79.13,80.41380000000001
177.448,78.768,80.3499
174.369,75.508,80.005
172.244,70.712,79.6621
176.999,75.955,80.0795
176.562,75.099,80.1365
176.562,75.099,80.1365
175.218,75.268,79.9832
175.533,74.718,80.2125
174.369,75.508,80.005
175.533,74.718,80.2125
174.842,76.467,79.9281
173.825,76.354,80.0111
174.281,70.43,79.8083
176.562,75.099,80.1365
174.628,73.355,79.80839999999999
175.521,77.241,79.8535
173.825,76.354,80.0111
176.341,76.204,80.1366
175.231,77.044,79.83709999999999
175.855,74.345,79.97619999999999
173.777,73.896,79.57770000000001
170.99,71.61,79.1883
172.22,70.685,79.7649
173.451,73.236,79.8438
175.901,75.575,80.15950000000001
174.184,72.614,79.5489
177.718,76.366,80.0898
174.556,72.071,79.94030000000001
176.502,75.793,79.89009999999999
176.341,76.204,80.2156
173.198,74.027,80.03869999999999
174.702,74.529,80.1306
173.487,71.216,79.7998
172.641,74.562,79.8746
172.473,72.204,79.8998
178.426,78.418,80.3998
176.875,77.425,79.71000000000001
173.198,74.027,80.03869999999999
174.131,75.827,79.9225
177.683,79.723,80.25280000000001
174.69,75.277,80.1295
176.858,76.083,80.45270000000001
176.582,74.313,80.35170000000001
174.369,75.508,80.005
177.574,77.123,80.3212
173.323,73.303,80.2478
174.702,74.529,80.1306
172.641,74.562,79.8746
175.218,75.268,79.9832
178.836,73.828,80.37780000000001
172.641,74.562,79.8746
177.229,76.756,80.5242
174.58,77.241,80.0675
172.336,71.764,79.9529
173.487,71.216,79.7998
174.369,75.508,80.005
174.842,75.655,79.9281
171.515,73.665,79.5045
174.842,76.467,79.9281
177.368,76.784,80.1948
170.897,66.176,79.8215
177.574,77.123,80.3212
175.521,77.241,79.8535
177.683,79.723,80.25280000000001
181.003,82.955,80.25919999999999
174.661,75.159,80.2166
170.897,66.176,79.8215
171.054,72.174,79.955
175.079,76.207,80.31660000000001
174.556,72.071,79.94030000000001
175.084,75.435,80.2073
175.045,72.084,79.85
174.702,74.529,80.1306
174.842,76.467,79.9281
177.448,78.768,80.3499
175.003,77.764,79.7389
175.638,74.325,79.86609999999999
172.289,71.914,80.0172
175.055,76.806,79.7804
175.083,75.473,79.792
177.574,77.123,80.3212
174.842,76.467,79.9281
174.556,72.071,79.94030000000001
177.433,78.695,79.8823
175.045,72.084,79.85
176.58,75.582,80.2786
176.483,75.718,79.9303
