line,month,total
1,1,1310
1,2,1300
1,3,1305
1,4,1200
1,5,1301
1,6,1304
1,7,1330
1,8,1230
1,9,1330
1,10,1330
1,11,1330
1,12,1330
2,1,1630
2,2,1750
2,3,1610
2,4,1740
2,5,1620
2,6,1710
2,7,1600
2,8,1750
2,9,1670
2,10,1720
2,11,1610
2,12,1720
3,1,1320
3,2,1352
3,3,1300
3,4,1345
3,5,1310
3,6,1317
3,7,1303
3,8,1351
3,9,1360
3,10,1324
3,11,1319
3,12,1330
1,1,1323
1,2,1313
1,3,1318
1,4,1212
1,5,1314
1,6,1317
1,7,1343
1,8,1242
1,9,1343
1,10,1343
1,11,1343
1,12,1343
2,1,1646
2,2,1768
2,3,1626
2,4,1757
2,5,1636
2,6,1727
2,7,1616
2,8,1768
2,9,1687
2,10,1737
2,11,1626
2,12,1737
3,1,1333
3,2,1366
3,3,1313
3,4,1358
3,5,1323
3,6,1330
3,7,1316
3,8,1365
3,9,1374
3,10,1337
3,11,1332
3,12,1343
