,school,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,paid,activities,famrel,freetime,absences,absences_grade
0,GP,F,18,U,GT3,A,4,4,course,mother,2,2,0,no,no,4,3,6,3
1,GP,F,17,U,GT3,T,1,1,course,father,1,2,0,no,no,5,3,4,2
2,GP,F,15,U,LE3,T,1,1,other,mother,1,2,3,yes,no,4,3,10,4
3,GP,F,15,U,GT3,T,4,2,home,mother,1,3,0,yes,yes,3,2,2,1
4,GP,F,16,U,GT3,T,3,3,home,father,1,2,0,yes,no,4,3,4,2
5,GP,M,16,U,LE3,T,4,3,reputation,mother,1,2,0,yes,yes,5,4,10,4
6,GP,M,16,U,LE3,T,2,2,home,mother,1,2,0,no,no,4,4,0,1
7,GP,F,17,U,GT3,A,4,4,home,mother,2,2,0,no,no,4,1,6,3
8,GP,M,15,U,LE3,A,3,2,home,mother,1,2,0,yes,no,4,2,0,1
9,GP,M,15,U,GT3,T,3,4,home,mother,1,2,0,yes,yes,5,5,0,1
10,GP,F,15,U,GT3,T,4,4,reputation,mother,1,2,0,yes,no,3,3,0,1
11,GP,F,15,U,GT3,T,2,1,reputation,father,3,3,0,no,yes,5,2,4,2
12,GP,M,15,U,LE3,T,4,4,course,father,1,1,0,yes,yes,4,3,2,1
13,GP,M,15,U,GT3,T,4,3,course,mother,2,2,0,yes,no,5,4,2,1
14,GP,M,15,U,GT3,A,2,2,home,other,1,3,0,no,no,4,5,0,1
15,GP,F,16,U,GT3,T,4,4,home,mother,1,1,0,no,no,4,4,4,2
16,GP,F,16,U,GT3,T,4,4,reputation,mother,1,3,0,yes,yes,3,2,6,3
17,GP,F,16,U,GT3,T,3,3,reputation,mother,3,2,0,no,yes,5,3,4,2
18,GP,M,17,U,GT3,T,3,2,course,mother,1,1,3,no,yes,5,5,16,5
19,GP,M,16,U,LE3,T,4,3,home,father,1,1,0,yes,yes,3,1,4,2
20,GP,M,15,U,GT3,T,4,3,reputation,mother,1,2,0,no,no,4,4,0,1
21,GP,M,15,U,GT3,T,4,4,other,father,1,1,0,yes,no,5,4,0,1
22,GP,M,16,U,LE3,T,4,2,course,mother,1,2,0,no,yes,4,5,2,1
23,GP,M,16,U,LE3,T,2,2,reputation,mother,2,2,0,no,yes,5,4,0,1
24,GP,F,15,R,GT3,T,2,4,course,mother,1,3,0,yes,yes,4,3,2,1
25,GP,F,16,U,GT3,T,2,2,home,mother,1,1,2,yes,no,1,2,14,5
26,GP,M,15,U,GT3,T,2,2,home,mother,1,1,0,yes,no,4,2,2,1
27,GP,M,15,U,GT3,T,4,2,other,mother,1,1,0,yes,no,2,2,4,2
28,GP,M,16,U,LE3,A,3,4,home,mother,1,2,0,no,yes,5,3,4,2
29,GP,M,16,U,GT3,T,4,4,home,mother,1,2,0,yes,yes,4,4,16,5
30,GP,M,15,U,GT3,T,4,4,home,mother,1,2,0,yes,no,5,4,0,1
31,GP,M,15,U,GT3,T,4,4,reputation,mother,2,2,0,no,yes,4,3,0,1
32,GP,M,15,R,GT3,T,4,3,course,mother,1,2,0,no,yes,4,5,0,1
33,GP,M,15,U,LE3,T,3,3,course,mother,1,2,0,no,yes,5,3,0,1
34,GP,M,16,U,GT3,T,3,2,home,mother,1,1,0,yes,no,5,4,0,1
35,GP,F,15,U,GT3,T,2,3,other,father,2,1,0,no,yes,3,5,0,1
36,GP,M,15,U,LE3,T,4,3,home,mother,1,3,0,no,yes,5,4,2,1
37,GP,M,16,R,GT3,A,4,4,reputation,mother,2,3,0,no,yes,2,4,7,3
38,GP,F,15,R,GT3,T,3,4,course,mother,1,3,0,yes,yes,4,3,2,1
39,GP,F,15,R,GT3,T,2,2,reputation,mother,1,1,0,yes,yes,4,3,8,3
40,GP,F,16,U,LE3,T,2,2,home,mother,2,2,1,no,yes,3,3,25,
41,GP,M,15,U,LE3,T,4,4,home,other,1,1,0,no,no,5,4,8,3
42,GP,M,15,U,GT3,T,4,4,course,father,1,2,0,no,yes,4,3,2,1
43,GP,M,15,U,GT3,T,2,2,course,father,1,1,0,no,no,5,4,0,1
44,GP,F,16,U,LE3,T,2,2,course,father,2,2,1,no,yes,4,3,14,5
45,GP,F,15,U,LE3,A,4,3,course,mother,1,2,0,yes,yes,5,2,8,3
46,GP,F,16,U,LE3,A,3,3,home,mother,1,2,0,no,no,2,3,12,5
47,GP,M,16,U,GT3,T,4,3,reputation,mother,1,4,0,no,yes,4,2,4,2
48,GP,M,15,U,GT3,T,4,2,home,mother,1,2,0,yes,no,4,3,2,1
49,GP,F,15,U,GT3,T,4,4,other,father,1,2,1,no,yes,4,4,2,1
50,GP,F,16,U,LE3,T,2,2,course,mother,3,2,0,yes,no,4,3,2,1
51,GP,F,15,U,LE3,T,4,2,other,mother,1,2,0,yes,no,4,3,2,1
52,GP,M,15,U,LE3,A,4,2,other,father,2,1,1,no,no,5,5,6,3
53,GP,F,15,U,GT3,T,4,4,course,mother,1,1,0,yes,no,3,3,0,1
54,GP,F,15,U,LE3,A,3,3,other,mother,1,1,0,yes,no,5,3,6,3
55,GP,F,16,U,GT3,A,2,1,other,mother,1,2,0,yes,yes,5,3,8,3
56,GP,F,15,U,GT3,A,4,3,reputation,mother,1,2,0,yes,yes,4,3,0,1
57,GP,M,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,3,2,4,2
58,GP,M,15,U,LE3,T,1,2,home,father,1,2,0,no,yes,4,3,2,1
59,GP,F,16,U,GT3,T,4,2,course,mother,1,2,0,no,no,4,2,2,1
60,GP,F,16,R,GT3,T,4,4,other,mother,1,2,0,no,yes,2,4,6,3
61,GP,F,16,U,GT3,T,1,1,course,father,4,1,0,no,yes,5,5,6,3
62,GP,F,16,U,LE3,T,1,2,reputation,father,1,2,0,no,yes,4,4,4,2
63,GP,F,16,U,GT3,T,4,3,home,mother,1,3,0,yes,yes,3,4,2,1
64,GP,F,15,U,LE3,T,4,3,reputation,father,1,2,0,no,yes,4,4,0,1
65,GP,F,16,U,LE3,T,4,3,course,mother,3,2,0,no,yes,5,4,2,1
66,GP,M,15,U,GT3,A,4,4,reputation,mother,1,4,0,no,yes,1,3,4,2
67,GP,F,16,U,GT3,T,3,1,course,mother,1,4,0,yes,no,4,3,4,2
68,GP,F,15,R,LE3,T,2,2,reputation,mother,2,2,0,yes,no,4,1,2,1
69,GP,F,15,R,LE3,T,3,1,reputation,father,2,4,0,no,no,4,4,12,5
70,GP,M,16,U,GT3,T,3,1,reputation,father,2,4,0,yes,no,4,3,0,1
71,GP,M,15,U,GT3,T,4,2,course,mother,1,4,0,no,no,3,3,0,1
72,GP,F,15,R,GT3,T,1,1,reputation,mother,1,2,2,no,no,3,3,2,1
73,GP,M,16,U,GT3,T,3,1,reputation,mother,1,1,0,no,yes,5,3,2,1
74,GP,F,16,U,GT3,T,3,3,home,mother,1,2,0,yes,yes,4,3,54,
75,GP,M,15,U,GT3,T,4,3,home,mother,1,2,0,yes,yes,4,3,6,3
76,GP,M,15,U,GT3,T,4,0,course,mother,2,4,0,no,yes,3,4,8,3
77,GP,F,16,U,GT3,T,2,2,reputation,mother,1,4,0,yes,no,5,2,0,1
78,GP,M,17,U,GT3,T,2,1,home,mother,2,1,3,no,yes,4,5,2,1
79,GP,F,16,U,GT3,T,3,4,course,mother,1,2,0,no,no,2,4,12,5
80,GP,M,15,U,GT3,T,2,3,course,father,1,1,0,yes,yes,3,2,2,1
81,GP,M,15,U,GT3,T,2,3,home,mother,1,3,0,yes,no,5,3,4,2
82,GP,F,15,U,LE3,T,3,2,reputation,mother,1,2,0,yes,no,4,4,10,4
83,GP,M,15,U,LE3,T,2,2,home,mother,2,2,0,yes,yes,5,3,4,2
84,GP,F,15,U,GT3,T,1,1,home,father,1,2,0,no,yes,4,3,2,1
85,GP,F,15,U,GT3,T,4,4,reputation,father,2,2,2,yes,no,4,4,6,3
86,GP,F,16,U,LE3,T,2,2,course,mother,1,2,0,no,no,4,3,4,2
87,GP,F,15,U,GT3,T,4,2,reputation,mother,1,3,0,no,yes,5,3,4,2
88,GP,M,16,U,GT3,T,2,2,reputation,father,2,2,1,yes,yes,4,4,12,5
89,GP,M,16,U,LE3,A,4,4,reputation,mother,1,2,0,no,no,4,1,18,5
90,GP,F,16,U,GT3,T,3,3,home,mother,1,3,0,yes,no,4,3,0,1
91,GP,F,15,U,GT3,T,4,3,reputation,mother,1,1,0,yes,yes,4,5,4,2
92,GP,F,16,U,LE3,T,3,1,home,father,1,2,0,no,no,3,3,4,2
93,GP,F,16,U,GT3,T,4,2,home,mother,2,2,0,yes,yes,5,3,0,1
