시식전,시식후,유저아이디
Y,Y,ID1
N,Y,ID2
N,N,ID3
N,Y,ID4
Y,Y,ID5
N,Y,ID6
N,Y,ID7
N,N,ID8
Y,Y,ID9
Y,Y,ID10
Y,Y,ID11
N,Y,ID12
Y,N,ID13
N,Y,ID14
Y,N,ID15
Y,Y,ID16
N,N,ID17
Y,N,ID18
N,Y,ID19
N,Y,ID20
Y,N,ID21
N,N,ID22
N,Y,ID23
Y,N,ID24
Y,N,ID25
N,N,ID26
Y,Y,ID27
N,N,ID28
N,N,ID29
Y,N,ID30
Y,Y,ID31
Y,Y,ID32
Y,N,ID33
N,Y,ID34
N,N,ID35
Y,Y,ID36
Y,Y,ID37
N,N,ID38
N,Y,ID39
N,Y,ID40
N,Y,ID41
Y,N,ID42
N,Y,ID43
N,Y,ID44
Y,N,ID45
N,Y,ID46
N,Y,ID47
Y,Y,ID48
Y,Y,ID49
Y,Y,ID50
N,N,ID51
N,N,ID52
Y,Y,ID53
Y,Y,ID54
N,Y,ID55
Y,N,ID56
Y,N,ID57
Y,Y,ID58
N,Y,ID59
N,N,ID60
N,Y,ID61
N,N,ID62
N,N,ID63
N,Y,ID64
Y,N,ID65
N,Y,ID66
N,Y,ID67
Y,Y,ID68
N,Y,ID69
N,Y,ID70
Y,Y,ID71
Y,N,ID72
Y,N,ID73
N,N,ID74
Y,N,ID75
N,Y,ID76
N,N,ID77
N,N,ID78
N,N,ID79
Y,Y,ID80
Y,N,ID81
N,Y,ID82
Y,N,ID83
N,Y,ID84
N,Y,ID85
N,N,ID86
Y,Y,ID87
N,Y,ID88
N,N,ID89
Y,N,ID90
Y,N,ID91
Y,Y,ID92
Y,Y,ID93
N,Y,ID94
Y,N,ID95
N,Y,ID96
Y,Y,ID97
Y,Y,ID98
Y,Y,ID99
Y,Y,ID100
