,Score,School,ID
0,97,A,ID1
1,84,A,ID2
2,77,A,ID3
3,93,A,ID4
4,67,A,ID5
5,100,A,ID6
6,79,A,ID7
7,68,A,ID8
8,100,A,ID9
9,76,A,ID10
10,83,A,ID11
11,88,A,ID12
12,92,A,ID13
13,83,A,ID14
14,74,A,ID15
15,83,A,ID16
16,76,A,ID17
17,83,A,ID18
18,97,A,ID19
19,88,A,ID20
20,83,A,ID21
21,88,A,ID22
22,89,A,ID23
23,70,A,ID24
24,81,A,ID25
25,100,A,ID26
26,93,A,ID27
27,75,A,ID28
28,74,A,ID29
29,74,A,ID30
30,89,A,ID31
31,97,A,ID32
32,86,A,ID33
33,82,A,ID34
34,76,A,ID35
35,84,A,ID36
36,72,A,ID37
37,61,A,ID38
38,97,A,ID39
39,70,A,ID40
40,77,A,ID41
41,87,A,ID42
42,95,A,ID43
43,83,A,ID44
44,69,A,ID45
45,77,A,ID46
46,74,A,ID47
47,80,A,ID48
48,93,A,ID49
49,55,A,ID50
50,76,A,ID51
51,76,A,ID52
52,68,A,ID53
53,86,A,ID54
54,66,A,ID55
55,68,A,ID56
56,89,A,ID57
57,96,A,ID58
58,80,A,ID59
59,68,A,ID60
60,73,A,ID61
61,91,A,ID62
62,82,A,ID63
63,79,A,ID64
64,84,A,ID65
65,80,A,ID66
66,96,A,ID67
67,73,A,ID68
68,72,A,ID69
69,67,A,ID70
70,75,A,ID71
71,70,A,ID72
72,83,A,ID73
73,81,A,ID74
74,70,A,ID75
75,86,A,ID76
76,96,A,ID77
77,84,A,ID78
78,55,A,ID79
79,100,A,ID80
80,88,A,ID81
81,100,A,ID82
82,91,A,ID83
83,93,A,ID84
84,83,A,ID85
85,78,A,ID86
86,84,A,ID87
87,73,A,ID88
88,85,A,ID89
89,54,A,ID90
90,81,A,ID91
91,94,A,ID92
92,81,A,ID93
93,98,A,ID94
94,78,A,ID95
95,91,A,ID96
96,72,A,ID97
97,90,A,ID98
98,83,A,ID99
99,78,A,ID100
100,28,B,ID1
101,74,B,ID2
102,84,B,ID3
103,96,B,ID4
104,100,B,ID5
105,100,B,ID6
106,100,B,ID7
107,68,B,ID8
108,73,B,ID9
109,94,B,ID10
110,90,B,ID11
111,100,B,ID12
112,100,B,ID13
113,100,B,ID14
114,100,B,ID15
115,90,B,ID16
116,100,B,ID17
117,100,B,ID18
118,77,B,ID19
119,69,B,ID20
120,64,B,ID21
121,62,B,ID22
122,52,B,ID23
123,84,B,ID24
124,60,B,ID25
125,64,B,ID26
126,94,B,ID27
127,83,B,ID28
128,88,B,ID29
129,100,B,ID30
130,97,B,ID31
131,100,B,ID32
132,81,B,ID33
133,100,B,ID34
134,87,B,ID35
135,83,B,ID36
136,100,B,ID37
137,62,B,ID38
138,100,B,ID39
139,74,B,ID40
140,55,B,ID41
141,93,B,ID42
142,72,B,ID43
143,100,B,ID44
144,71,B,ID45
145,86,B,ID46
146,51,B,ID47
147,96,B,ID48
148,64,B,ID49
149,93,B,ID50
150,71,B,ID51
151,39,B,ID52
152,82,B,ID53
153,81,B,ID54
154,97,B,ID55
155,100,B,ID56
156,100,B,ID57
157,97,B,ID58
158,85,B,ID59
159,51,B,ID60
160,84,B,ID61
161,84,B,ID62
162,76,B,ID63
163,92,B,ID64
164,100,B,ID65
165,63,B,ID66
166,63,B,ID67
167,77,B,ID68
168,67,B,ID69
169,47,B,ID70
170,60,B,ID71
171,55,B,ID72
172,100,B,ID73
173,100,B,ID74
174,58,B,ID75
175,90,B,ID76
176,97,B,ID77
177,50,B,ID78
178,83,B,ID79
179,100,B,ID80
180,93,B,ID81
181,75,B,ID82
182,68,B,ID83
183,39,B,ID84
184,89,B,ID85
185,100,B,ID86
186,63,B,ID87
187,41,B,ID88
188,66,B,ID89
189,97,B,ID90
190,71,B,ID91
191,63,B,ID92
192,80,B,ID93
193,84,B,ID94
194,52,B,ID95
195,75,B,ID96
196,70,B,ID97
197,67,B,ID98
198,59,B,ID99
199,98,B,ID100
