game_id,a1_1,a1_2,a2_1,a2_2,a3_1,a3_2,a4_1,a4_2,a5_1,a5_2,a6_1,a6_2,a7_1,a7_2,a8_1,a8_2,a9_1,a9_2,b1,b2,b3,b4,b5,b6,b7,b8,b9
201900016,5,5,5,5,5,5,5,5,5,5,7,1,5,5,1,1,1,5,0,0,0,0,0,0,0,4,2
201900023,6,4,5,5,2,5,1,1,6,5,4,1,1,5,5,6,2,7,3,0,0,1,0,1,3,1,0
201900103,5,6,5,5,1,9,5,4,6,1,4,2,6,1,5,5,5,6,0,0,1,1,4,1,2,0,1
201900112,5,7,6,1,5,5,1,5,1,5,5,5,6,7,6,9,5,5,0,3,0,0,0,0,1,0,0
201900131,5,1,2,5,2,5,7,2,6,6,5,1,5,5,6,5,6,6,0,2,4,1,2,2,0,1,0
201900141,6,5,6,5,7,5,5,5,5,6,6,5,7,8,1,5,7,7,0,5,0,0,2,2,3,0,0
201900142,5,6,5,1,5,6,5,5,5,1,5,1,6,1,7,7,7,7,2,0,2,0,3,0,1,0,0
201900150,1,6,2,7,5,7,1,7,5,6,7,5,7,5,1,1,7,5,2,2,0,0,0,0,0,1,0
201900157,7,1,4,6,5,3,2,9,5,5,7,4,5,7,7,2,2,1,0,1,4,1,0,1,0,3,4
201900161,5,5,7,2,1,5,1,2,5,2,5,1,5,1,7,7,5,2,1,0,1,2,0,0,2,0,0
201900173,5,5,5,5,7,8,5,5,5,1,5,1,1,7,5,7,5,1,1,0,2,0,0,2,0,0,0
201900176,1,4,7,5,6,7,5,5,6,5,5,5,5,7,5,5,5,2,3,0,0,3,2,0,0,0,1
201900177,5,5,5,7,7,7,5,5,7,5,1,1,6,9,7,4,1,5,0,0,0,0,0,1,1,1,2
201900183,7,7,6,6,5,6,5,5,1,9,5,7,6,4,5,5,7,1,0,3,0,0,0,1,2,0,0
201900186,7,5,7,6,2,9,5,5,8,5,6,1,6,5,7,7,7,7,0,0,0,1,0,5,0,1,0
201900197,7,7,7,5,7,1,5,5,5,5,1,6,4,5,7,4,1,1,0,1,0,0,0,4,1,1,1
201900200,5,5,7,5,1,7,7,2,5,7,5,5,5,2,5,7,7,5,1,0,0,0,0,0,1,0,0
201900201,4,5,1,5,4,5,1,6,7,5,2,5,1,4,5,5,2,9,1,0,4,0,0,1,2,0,3
201900203,5,2,5,6,5,5,1,9,1,1,6,1,1,6,2,7,1,7,2,0,0,0,1,4,2,0,0
201900208,1,7,5,5,4,5,2,5,5,4,7,7,5,7,7,5,5,5,0,0,2,0,1,0,0,0,0
201900213,2,5,2,5,5,5,7,7,5,5,7,5,7,5,5,5,5,7,2,0,2,0,0,0,1,0,0
201900235,5,1,1,6,5,5,5,1,5,7,5,4,4,2,5,5,3,5,0,2,0,0,0,1,2,0,0
201900274,7,5,1,5,5,5,5,7,6,9,5,4,7,5,6,5,5,5,0,0,0,0,0,3,0,0,0
201900285,6,5,1,7,6,5,7,5,5,1,5,5,7,6,6,7,5,6,0,1,1,0,0,0,0,3,0
201900286,5,5,1,9,5,1,6,2,5,7,4,5,1,5,5,1,5,5,2,1,0,1,0,1,0,0,0
201900290,5,5,2,6,7,5,4,5,7,5,2,5,5,5,5,7,5,7,0,4,0,1,0,0,0,0,0
201900294,7,6,7,7,7,1,5,7,2,5,5,7,7,6,1,7,1,5,0,0,0,0,1,0,2,0,5
201900303,5,5,5,5,1,9,1,1,5,5,1,7,5,5,5,5,4,5,0,0,1,3,0,0,3,0,1
