"credit.rating","account.balance","credit.duration.months","previous.credit.payment.status","credit.purpose","credit.amount","savings","employment.duration","installment.rate","marital.status","guarantor","residence.duration","current.assets","age","other.credits","apartment.type","bank.credits","occupation","dependents","telephone","foreign.worker"
"1","1",18,"3","2",1049,"1","1","4","1","1","4","2",21,"2","1","1","3","1","1","1"
"1","1",9,"3","4",2799,"1","2","2","3","1","2","1",36,"2","1","2","3","2","1","1"
"1","2",12,"2","4",841,"2","3","2","1","1","4","1",23,"2","1","1","2","1","1","1"
"1","1",12,"3","4",2122,"1","2","3","3","1","2","1",39,"2","1","2","2","2","1","2"
"1","1",12,"3","4",2171,"1","2","4","3","1","4","2",38,"1","2","2","2","1","1","2"
"1","1",10,"3","4",2241,"1","1","1","3","1","3","1",48,"2","1","2","2","2","1","2"
"1","1",8,"3","4",3398,"1","3","1","3","1","4","1",39,"2","2","2","2","1","1","2"
"1","1",6,"3","4",1361,"1","1","2","3","1","4","1",40,"2","2","1","2","2","1","2"
"1","3",18,"3","3",1098,"1","1","4","1","1","4","3",65,"2","2","2","1","1","1","1"
"1","2",24,"2","3",3758,"3","1","1","1","1","4","4",23,"2","1","1","1","1","1","1"
"1","1",11,"3","4",3905,"1","2","2","3","1","2","1",36,"2","1","2","3","2","1","1"
"1","1",30,"3","1",6187,"2","3","1","4","1","4","3",24,"2","1","2","3","1","1","1"
"1","1",6,"3","3",1957,"1","3","1","1","1","4","3",31,"2","2","1","3","1","1","1"
"1","2",48,"3","4",7582,"2","1","2","3","1","4","4",31,"2","2","1","4","1","2","1"
"1","1",18,"2","3",1936,"4","3","2","4","1","4","3",23,"2","1","2","2","1","1","1"
"1","1",6,"2","3",2647,"3","2","2","3","1","3","1",44,"2","1","1","3","2","1","1"
"1","1",11,"3","4",3939,"1","2","1","3","1","2","1",40,"2","2","2","2","2","1","1"
"1","2",18,"2","3",3213,"3","1","1","4","1","3","1",25,"2","1","1","3","1","1","1"
"1","2",36,"3","3",2337,"1","4","4","3","1","4","1",36,"2","2","1","3","1","1","1"
"1","3",11,"3","4",7228,"1","2","1","3","1","4","2",39,"2","2","2","2","1","1","1"
"1","1",6,"3","4",3676,"1","2","1","3","1","3","1",37,"2","1","2","3","2","1","1"
"1","2",12,"3","4",3124,"1","1","1","3","1","3","1",49,"1","2","2","2","2","1","1"
"0","2",36,"2","3",2384,"1","1","4","3","1","1","4",33,"2","1","1","2","1","1","1"
"1","2",12,"3","3",1424,"1","3","4","3","1","3","2",26,"2","2","1","3","1","1","1"
"1","1",6,"3","4",4716,"4","1","1","3","1","3","1",44,"2","2","2","2","2","1","1"
"1","2",11,"3","3",4771,"1","3","2","3","1","4","2",51,"2","2","1","3","1","1","1"
"1","1",12,"2","2",652,"1","4","4","1","1","4","2",24,"2","1","1","3","1","1","1"
"1","2",9,"3","3",1154,"1","4","2","3","1","4","1",37,"2","2","2","2","1","1","1"
"1","3",15,"2","4",3556,"4","2","3","3","1","2","4",29,"2","2","1","3","1","1","1"
"1","3",42,"3","1",4796,"1","4","4","3","1","4","4",56,"2","3","1","3","1","1","1"
"1","3",30,"3","3",3017,"1","4","4","3","1","4","2",47,"2","2","1","3","1","1","1"
"1","3",36,"3","4",3535,"1","3","4","3","1","4","3",37,"2","2","2","3","1","2","1"
"1","3",36,"3","4",6614,"1","4","4","3","1","4","3",34,"2","2","2","4","1","2","1"
"1","3",24,"2","3",1376,"3","3","4","1","1","1","3",28,"2","2","1","3","1","1","1"
"1","1",15,"2","4",1721,"1","1","2","3","1","3","1",36,"2","2","1","3","1","1","1"
"1","1",6,"3","4",860,"1","4","1","1","1","4","4",39,"2","2","2","3","1","2","1"
"1","3",12,"3","4",1495,"1","4","4","3","1","1","1",38,"2","2","2","2","2","1","1"
"1","3",12,"3","3",1934,"1","4","2","3","1","2","4",26,"2","2","2","3","1","1","1"
"1","3",18,"2","1",3378,"4","2","2","3","1","1","2",31,"2","2","1","3","1","2","1"
"1","3",24,"3","1",3868,"1","4","4","1","1","2","3",41,"2","1","2","4","1","2","1"
"1","3",12,"3","3",996,"4","3","4","1","1","4","1",23,"2","2","2","3","1","1","1"
"1","1",24,"2","4",1755,"1","4","4","1","2","4","1",58,"2","2","1","2","1","2","1"
"1","3",18,"3","4",1028,"1","2","4","1","1","3","1",36,"2","2","2","3","1","1","1"
"1","2",24,"3","4",2825,"4","3","4","3","1","3","4",34,"2","2","2","3","2","2","1"
"1","2",18,"2","3",1239,"4","2","4","3","1","4","4",61,"2","3","1","3","1","1","1"
"0","1",18,"2","4",1216,"1","1","4","1","1","3","3",23,"2","1","1","3","1","2","1"
"1","3",24,"2","4",1258,"1","3","4","3","1","1","1",25,"2","2","1","3","1","2","1"
"0","3",18,"3","3",1864,"2","2","4","1","1","2","1",30,"2","2","2","3","1","1","1"
"1","3",24,"2","4",1474,"2","1","4","4","1","3","1",33,"2","2","1","3","1","2","1"
"1","1",24,"3","4",1382,"2","3","4","3","1","1","1",26,"2","2","2","3","1","2","1"
"1","3",12,"2","4",640,"1","2","4","1","1","2","1",49,"2","2","1","2","1","1","1"
"1","3",36,"2","3",3919,"1","2","2","3","1","2","1",23,"2","2","1","3","1","2","1"
"1","3",9,"3","4",1224,"1","2","3","3","1","1","1",30,"2","2","2","3","1","1","1"
"1","3",12,"3","3",2331,"4","4","1","3","2","4","1",49,"2","2","1","3","1","2","1"
"1","3",24,"2","1",6313,"4","4","3","3","1","4","3",41,"2","2","1","4","2","2","1"
"1","1",12,"3","3",385,"1","3","4","1","1","3","1",58,"2","2","2","2","1","2","1"
"1","3",12,"3","3",1655,"1","4","2","3","1","4","1",63,"2","2","2","2","1","2","1"
"1","1",15,"2","3",1053,"1","1","4","4","1","2","1",27,"2","2","1","3","1","1","2"
"1","3",21,"2","3",3160,"4","4","4","3","1","3","2",41,"2","2","1","3","1","2","1"
"1","3",36,"2","4",3079,"4","2","4","3","1","4","1",36,"2","2","1","3","1","1","1"
"1","3",12,"3","4",1163,"3","2","4","3","1","4","1",44,"2","2","1","3","1","2","1"
"1","3",24,"2","1",2679,"1","1","4","1","1","1","4",29,"2","2","1","4","1","2","1"
"1","3",48,"3","3",3578,"4","4","4","3","1","1","1",47,"2","2","1","3","1","2","1"
"1","3",36,"3","4",10875,"1","4","2","3","1","2","3",45,"2","2","2","3","2","2","1"
"1","1",12,"3","4",1344,"1","2","4","3","1","2","1",43,"2","2","2","2","2","1","1"
"1","3",6,"3","3",1237,"2","2","1","1","1","1","2",27,"2","2","2","3","1","1","1"
"1","3",12,"2","3",3077,"1","2","2","3","1","4","3",52,"2","2","1","3","1","2","1"
"1","3",24,"2","3",2284,"1","3","4","3","1","2","3",28,"2","2","1","3","1","2","1"
"1","2",12,"2","3",1567,"1","2","1","1","1","1","3",22,"2","2","1","3","1","2","1"
"1","3",24,"3","4",2032,"1","4","4","3","1","4","4",60,"2","3","2","3","1","2","1"
"1","2",21,"3","2",2745,"3","3","3","3","1","2","3",32,"2","2","2","3","1","2","1"
"1","3",30,"2","3",1867,"4","4","4","3","1","4","3",58,"2","2","1","3","1","2","1"
"1","3",36,"2","3",2299,"3","4","4","3","1","4","3",39,"2","2","1","3","1","1","1"
"1","3",24,"2","2",929,"4","3","4","3","1","2","3",31,"1","2","1","3","1","2","1"
"1","3",12,"2","3",3399,"4","4","2","3","1","3","3",37,"2","2","1","4","1","1","1"
"1","2",9,"2","2",2030,"4","3","2","3","1","1","3",24,"2","2","1","3","1","2","1"
"1","3",21,"3","1",3275,"1","4","1","3","1","4","3",36,"2","2","1","4","1","2","1"
"1","3",24,"3","4",1940,"3","4","4","3","1","4","1",60,"2","2","1","3","1","2","1"
"1","1",21,"3","4",1602,"1","4","4","4","1","3","3",30,"2","2","2","3","1","2","1"
"1","3",15,"2","3",1979,"4","4","4","3","1","2","3",35,"2","2","1","3","1","1","1"
"1","3",24,"3","4",2022,"1","2","4","1","1","4","3",37,"2","2","1","3","1","2","1"
"1","3",36,"3","3",3342,"4","4","4","3","1","2","3",51,"2","2","1","3","1","2","1"
"1","2",18,"2","4",5866,"2","2","2","3","1","2","3",30,"2","2","2","3","1","2","1"
"1","3",15,"3","1",2360,"3","2","2","3","1","2","3",36,"2","2","1","3","1","2","1"
"1","3",15,"3","2",1520,"4","4","4","3","1","4","2",63,"2","2","1","3","1","1","1"
"1","1",12,"2","4",3651,"3","2","1","3","1","3","2",31,"2","2","1","3","2","1","1"
"1","3",24,"3","1",2346,"1","3","4","3","1","3","3",35,"2","2","2","3","1","2","1"
"1","3",36,"3","3",4454,"1","2","4","1","1","4","1",34,"2","2","2","3","1","1","1"
"1","1",6,"3","4",666,"3","3","3","1","1","4","1",39,"2","2","2","2","1","2","1"
"1","2",24,"3","4",1965,"4","2","4","1","1","4","3",42,"2","1","2","3","1","2","1"
