is_canceled,deposit_type,lead_time,stays_in_weekend_nights,stays_in_week_nights,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr
0,No Deposit,105.0,2,5,,0,0,1,0,131.5
0,No Deposit,303.0,2,2,,0,0,0,0,73.95
0,No Deposit,33.0,2,3,0.0,0,0,0,0,
0,No Deposit,48.0,0,1,0.0,0,0,1,0,80.3
0,No Deposit,216.0,4,7,0.0,0,0,2,0,60.9
0,No Deposit,116.0,2,4,0.0,0,0,0,0,88.4
0,No Deposit,41.0,1,2,0.0,0,0,0,0,105.9
0,No Deposit,219.0,1,2,,0,0,0,0,76.67
0,No Deposit,55.0,0,2,0.0,0,0,1,0,84.0
0,No Deposit,20.0,2,5,0.0,0,0,0,0,42.0
0,No Deposit,225.0,2,5,0.0,0,0,1,0,79.84
0,No Deposit,77.0,2,2,0.0,0,0,0,0,
0,No Deposit,4.0,2,0,0.0,0,0,0,0,88.0
0,No Deposit,125.0,2,1,0.0,0,0,0,0,126.0
0,No Deposit,377.0,0,2,0.0,0,0,1,0,
0,No Deposit,5.0,0,2,0.0,0,0,0,0,55.0
0,No Deposit,25.0,2,3,0.0,0,0,0,0,158.77
0,No Deposit,5.0,0,2,0.0,0,0,0,0,56.0
0,No Deposit,8.0,2,1,0.0,0,0,0,0,124.1
0,No Deposit,50.0,2,2,0.0,0,0,0,0,126.0
0,No Deposit,221.0,2,1,0.0,0,0,1,0,77.5
0,No Deposit,13.0,0,1,1.0,1,11,0,0,67.0
0,No Deposit,50.0,2,0,0.0,0,0,0,0,58.0
0,No Deposit,121.0,5,12,0.0,0,0,0,0,72.25
0,No Deposit,41.0,0,3,0.0,0,0,1,0,145.1
0,No Deposit,3.0,0,1,0.0,0,0,0,0,157.27
0,No Deposit,0.0,0,1,0.0,0,0,0,0,
0,No Deposit,30.0,0,2,0.0,0,0,0,0,100.0
0,No Deposit,0.0,1,0,0.0,0,0,0,0,89.0
0,No Deposit,17.0,2,1,0.0,0,0,1,0,170.0
0,No Deposit,4.0,0,1,1.0,0,2,0,0,67.0
0,No Deposit,67.0,2,4,0.0,0,0,1,0,
0,No Deposit,13.0,1,3,0.0,0,0,0,0,87.0
0,No Deposit,160.0,0,3,0.0,0,0,0,111,
0,No Deposit,4.0,0,1,0.0,0,0,0,0,90.0
0,No Deposit,237.0,0,2,0.0,0,0,0,0,107.1
0,No Deposit,289.0,0,3,0.0,0,0,0,0,123.0
0,No Deposit,57.0,1,3,,0,0,0,0,85.85
0,No Deposit,116.0,0,4,,0,0,0,0,56.1
0,No Deposit,246.0,2,8,0.0,0,0,1,0,30.24
0,No Deposit,68.0,0,1,0.0,0,0,0,0,62.0
0,No Deposit,112.0,2,1,0.0,0,0,0,0,110.88
0,No Deposit,97.0,0,2,0.0,0,0,0,0,0.0
0,No Deposit,1.0,0,1,,0,0,0,0,
0,No Deposit,92.0,2,3,0.0,0,0,0,0,
0,No Deposit,4.0,1,0,0.0,0,0,0,0,42.3
0,No Deposit,0.0,0,1,1.0,0,3,0,0,0.0
0,No Deposit,281.0,2,2,0.0,0,0,1,0,107.1
0,No Deposit,16.0,1,2,0.0,0,0,1,0,283.67
0,No Deposit,40.0,1,2,0.0,0,0,0,0,55.0
0,No Deposit,105.0,2,4,0.0,0,0,0,65,69.0
0,No Deposit,263.0,2,2,0.0,0,0,0,0,105.0
0,No Deposit,47.0,2,1,0.0,0,0,0,0,62.0
0,No Deposit,6.0,1,0,,0,0,0,0,88.0
0,No Deposit,34.0,1,3,0.0,0,0,0,0,77.18
0,No Deposit,97.0,2,5,0.0,0,0,0,0,134.14
0,No Deposit,211.0,2,5,0.0,0,0,1,0,25.11
0,No Deposit,97.0,1,2,0.0,0,0,0,0,150.3
0,No Deposit,8.0,0,1,0.0,0,0,0,0,168.3
0,No Deposit,37.0,2,1,0.0,0,0,0,0,115.2
0,No Deposit,22.0,0,1,0.0,0,0,0,0,108.15
0,No Deposit,0.0,1,0,0.0,0,0,0,0,130.0
0,No Deposit,0.0,0,1,0.0,0,0,0,0,96.0
0,No Deposit,17.0,0,2,0.0,0,0,0,17,48.0
0,No Deposit,1.0,2,0,0.0,0,0,0,0,75.0
0,No Deposit,42.0,2,4,0.0,0,0,0,0,104.5
0,No Deposit,12.0,2,0,0.0,0,0,0,0,111.0
0,No Deposit,9.0,0,2,0.0,0,0,0,0,130.0
0,No Deposit,158.0,2,1,0.0,0,0,0,0,118.13
0,No Deposit,110.0,1,1,0.0,0,0,0,0,98.1
0,No Deposit,72.0,0,2,0.0,0,0,0,0,168.3
0,No Deposit,44.0,2,1,0.0,0,0,2,0,98.0
0,No Deposit,15.0,0,3,0.0,0,0,0,0,74.13
0,No Deposit,32.0,2,5,0.0,0,0,0,0,82.24
0,No Deposit,2.0,2,1,0.0,0,0,0,0,196.0
0,No Deposit,2.0,2,3,0.0,0,0,0,0,58.0
0,No Deposit,12.0,2,1,0.0,0,0,0,0,87.0
0,No Deposit,60.0,1,1,0.0,0,0,1,0,60.0
0,No Deposit,68.0,0,4,0.0,0,0,0,0,144.0
0,No Deposit,163.0,0,2,0.0,0,0,0,0,118.8
0,No Deposit,8.0,0,0,0.0,0,0,0,0,0.0
0,No Deposit,5.0,0,1,0.0,0,0,0,0,
0,No Deposit,182.0,0,1,0.0,0,0,0,0,97.71
0,No Deposit,40.0,1,0,0.0,0,0,0,0,118.0
0,No Deposit,75.0,2,1,0.0,0,0,0,0,79.2
0,No Deposit,422.0,0,4,0.0,0,0,6,0,90.0
0,No Deposit,0.0,1,3,0.0,0,0,1,0,245.0
0,No Deposit,42.0,0,4,0.0,0,0,0,0,45.0
0,No Deposit,86.0,1,2,0.0,0,0,0,0,65.0
0,No Deposit,3.0,1,0,0.0,0,0,0,0,88.0
0,No Deposit,11.0,1,1,0.0,0,0,0,0,91.0
0,No Deposit,167.0,1,5,0.0,0,0,0,0,120.6
0,No Deposit,78.0,6,15,,0,0,1,0,106.0
0,No Deposit,5.0,0,2,0.0,0,0,1,0,100.0
0,No Deposit,57.0,0,2,0.0,0,0,0,0,91.0
0,No Deposit,2.0,0,1,0.0,0,0,0,0,88.2
0,No Deposit,22.0,0,3,0.0,0,0,0,0,148.0
0,No Deposit,49.0,2,4,0.0,0,0,0,0,106.25
0,No Deposit,1.0,1,1,0.0,0,0,0,0,89.0
0,No Deposit,21.0,0,1,0.0,0,0,0,0,152.0
0,No Deposit,0.0,0,1,1.0,1,9,0,0,30.0
