Month,Sales
2017-01-01,6550
2017-02-01,8728
2017-03-01,12026
2017-04-01,14395
2017-05-01,14587
2017-06-01,13791
2017-07-01,9498
2017-08-01,8251
2017-09-01,7049
2017-10-01,9545
2017-11-01,9364
2017-12-01,8456
2018-01-01,7237
2018-02-01,9374
2018-03-01,11837
2018-04-01,13784
2018-05-01,15926
2018-06-01,13821
2018-07-01,11143
2018-08-01,7975
2018-09-01,7610
2018-10-01,10015
2018-11-01,12759
2018-12-01,8816
2019-01-01,10677
2019-02-01,10947
2019-03-01,15200
2019-04-01,17010
2019-05-01,20900
2019-06-01,16205
2019-07-01,12143
2019-08-01,8997
2019-09-01,5568
2019-10-01,11474
2019-11-01,12256
2019-12-01,10583
2020-01-01,10862
2020-02-01,10965
2020-03-01,14405
2020-04-01,20379
2020-05-01,20128
2020-06-01,17816
2020-07-01,12268
2020-08-01,8642
2020-09-01,7962
2020-10-01,13932
2020-11-01,15936
2020-12-01,12628
2021-01-01,12267
2021-02-01,12470
2021-03-01,18944
2021-04-01,21259
2021-05-01,22015
2021-06-01,18581
2021-07-01,15175
2021-08-01,10306
2021-09-01,10792
2021-10-01,14752
2021-11-01,13754
2021-12-01,11738
2022-01-01,12181
2022-02-01,12965
2022-03-01,19990
2022-04-01,23125
2022-05-01,23541
2022-06-01,21247
2022-07-01,15189
2022-08-01,14767
2022-09-01,10895
2022-10-01,17130
2022-11-01,17697
2022-12-01,16611
2023-01-01,12674
2023-02-01,12760
2023-03-01,20249
2023-04-01,22135
2023-05-01,20677
2023-06-01,19933
2023-07-01,15388
2023-08-01,15113
2023-09-01,13401
2023-10-01,16135
2023-11-01,17562
2023-12-01,14720
2024-01-01,12225
2024-02-01,11608
2024-03-01,20985
2024-04-01,19692
2024-05-01,24081
2024-06-01,22114
2024-07-01,14220
2024-08-01,13434
2024-09-01,13598
2024-10-01,17187
2024-11-01,16119
2024-12-01,13713
2025-01-01,13210
2025-02-01,14251
2025-03-01,20139
2025-04-01,21725
2025-05-01,26099
2025-06-01,21084
2025-07-01,18024
2025-08-01,16722
2025-09-01,14385
2025-10-01,21342
2025-11-01,17180
2025-12-01,14577
