school,sex,paid,activities,famrel,freetime,goout,Dalc,Walc,health,absences,grade
1.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,3.0,6.0,6.0
1.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0
1.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,10.0,8.0
1.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0
1.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,2.0,5.0,4.0,9.0
1.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0
1.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0
1.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0
1.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,18.0
1.0,1.0,1.0,1.0,5.0,5.0,2.2,1.0,1.0,5.0,0.0,15.0
1.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,9.0
1.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,11.0
1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0
1.0,1.0,1.0,0.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0
1.0,1.0,0.0,0.0,4.4,5.0,2.0,1.0,1.0,3.0,0.0,15.0
1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,2.0,6.0,14.0
1.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,6.0,14.0
1.0,0.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,4.0,9.0
1.0,1.0,0.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,16.0,5.0
1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,4.0,9.0
1.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,14.0
1.0,1.0,1.0,0.0,5.0,4.0,2.0,1.0,1.0,5.0,0.0,14.0
1.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0
1.0,1.0,0.0,1.0,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0
1.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0
1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,14.0,8.0
1.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0
1.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0
1.0,1.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0
1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,16.0,11.0
1.0,1.0,1.0,0.0,5.0,4.0,2.0,3.0,4.0,5.0,0.0,11.0
1.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0
1.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,1.0,5.0,0.0,16.0
1.0,1.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,0.0,10.0
1.0,1.0,1.0,0.0,5.0,4.0,3.0,1.0,1.0,5.0,0.0,14.0
1.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,0.0,7.0
1.0,1.0,0.0,1.0,5.0,4.0,3.0,1.0,1.0,4.0,2.0,16.0
1.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0
1.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0
1.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.4,8.0,13.0
1.0,0.0,0.0,1.0,3.0,3.0,3.6,1.0,2.0,3.0,25.0,9.0
1.0,1.0,0.0,0.0,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0
1.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,18.0
1.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,9.0
1.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0
1.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,8.0,7.0
1.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0
1.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0
1.0,1.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0
1.0,0.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,3.8,2.0,7.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,13.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,12.0
1.0,1.0,0.0,0.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11.0
1.0,0.0,1.0,0.0,3.0,3.0,4.0,2.0,3.0,5.0,0.0,10.0
1.0,0.0,1.0,0.0,5.0,3.0,4.0,4.0,4.0,1.0,6.0,12.0
1.0,0.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,8.0,9.0
1.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0
1.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,4.0,15.0
1.0,1.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0
1.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16.0
1.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,6.0,11.0
1.0,0.0,0.0,1.0,5.0,5.0,5.0,2.8,5.0,5.0,6.0,10.0
1.0,0.0,0.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,9.0
1.0,0.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,9.0
1.0,0.0,0.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0
1.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,15.0
1.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0
1.0,0.0,1.0,0.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0
1.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0
1.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,0.0,14.0
1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,10.0
1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,6.0
1.0,1.0,0.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,13.0
1.0,0.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11.0
1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9.0
1.0,1.0,0.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11.0
1.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11.0
1.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,9.0
1.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5.0
1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,11.0
1.0,1.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11.0
1.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,5.0,2.6,6.0
1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,4.0,4.0,15.0
1.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,10.0
