날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2022-03-30,37261,33753,55376,81018,96008,95433,103288,116862,75118,82254,135361,119150,79934,98454,115771,148359,109973,63687,110293,106238,132305,104368,136200,176765,121926
2022-03-29,36216,32835,53872,79030,93474,92993,100255,113609,72934,79677,130878,115116,77705,95523,111900,143573,106162,61840,106171,102955,127626,100529,132333,172292,118842
2022-03-28,35276,31878,52391,76802,91030,90277,97419,110583,70754,77878,127299,112560,75425,93028,109290,139633,103573,59946,104109,100665,124805,98869,128813,167386,115846
2022-03-27,34879,31577,51652,76108,89876,89302,96359,109500,70003,76542,125120,110620,74131,92006,107582,137908,102610,59393,102916,99426,123374,96873,126296,165373,113549
2022-03-26,34061,30903,50720,74178,87770,87345,93690,106437,68329,75119,121314,108254,72644,89871,104991,134285,99938,57925,100349,96989,120413,95124,123992,161650,110649
2022-03-25,35766,32582,49989,74512,86488,85386,91639,102491,68116,73167,117632,104591,70928,87350,101656,128701,97546,58920,98149,94437,115209,93238,117573,154279,106653
2022-03-24,32267,29329,48249,70598,83280,83093,88856,100893,64872,71160,115419,101922,68483,85121,99046,126806,94520,54772,95143,91921,113972,90047,116637,153497,104266
2022-03-23,31283,28381,46631,68474,80149,80636,85857,97056,62635,68818,111567,98744,66378,82432,95259,122706,91314,52908,91734,88904,110587,86481,112922,148775,100582
2022-03-22,29872,27191,44587,65430,76850,77498,82352,92465,60062,65823,106013,93813,63736,78848,91190,117420,86948,50713,86594,84724,105402,82847,107360,142373,95772
2022-03-21,28851,26097,43051,63199,75116,74684,79294,90297,57799,63636,102860,91813,61469,76038,88329,113387,84260,48710,84310,81990,102490,80853,104101,137662,93683
2022-03-20,28414,25819,42476,62366,73297,73647,78044,88891,57038,62435,99291,89173,60177,74801,86324,111375,83238,48150,81824,80649,100796,78789,101267,135327,91305
2022-03-19,27391,24821,41106,59789,70963,71630,75648,85839,55184,60428,95081,86686,58376,72381,83594,107250,80400,46565,79902,77934,97363,76162,99069,130803,88215
2022-03-18,26330,23909,39366,57515,68308,68935,72718,82270,53157,58200,90235,83080,56199,69647,79905,103265,77044,44651,75241,74725,92685,73232,93752,125987,85260
2022-03-17,25158,22932,37321,54866,65326,65738,69898,78519,50909,55635,87337,79524,52916,66941,76183,96898,73922,42701,71538,71705,89619,70430,89860,120880,81632
2022-03-16,23332,21168,34034,51259,60428,60783,64960,71809,47343,51525,81471,74453,48925,62117,71274,89763,68012,39176,66103,65763,82317,65696,84427,113881,77240
2022-03-15,21762,19992,32986,48943,58185,58374,61877,69259,45085,49138,77639,69621,46768,59276,67013,86654,64520,37086,63505,62724,77678,62098,81663,106449,71951
2022-03-14,21180,19191,31791,46746,55814,55686,58619,66312,42681,46922,72552,66730,43506,56612,64342,83346,62309,35545,61180,60831,74665,59766,78966,102712,69344
2022-03-13,20321,18550,30577,44996,53032,53712,56566,64009,41161,45178,70132,64145,42495,54273,61923,80242,59373,33812,58881,58304,72073,57932,76181,98302,67511
2022-03-12,19325,17645,29090,42861,51087,51056,53822,60666,39096,42882,67731,60949,41217,51684,59084,75962,56877,32393,56504,55319,68428,55434,72988,93547,64447
2022-03-11,18344,16683,27392,40270,48223,48188,50462,57293,36710,40384,63889,57251,38365,48738,55876,71627,53617,30901,52933,52121,64516,52322,68946,88590,60705
2022-03-10,17529,15920,26415,38387,46186,46087,48533,54691,35284,38702,61367,54677,36233,46666,52721,68799,51440,29530,50956,49791,61708,49568,66136,85035,58751
2022-03-09,16660,15119,25014,36357,43661,43849,46075,51576,33420,36791,58287,51627,35065,44320,50392,64373,48580,27882,48088,46953,57551,47246,63331,80661,55634
2022-03-08,15557,14174,23452,33984,40927,41014,42944,48360,31196,34516,54847,48483,32855,41650,47432,60182,45347,26170,44780,43747,54217,44377,59976,75874,52275
2022-03-07,15152,13759,22810,32991,39499,39443,41378,46650,30007,33122,52590,46798,30886,40350,45951,58440,44162,25261,43575,42733,52735,42939,58017,73337,50688
2022-03-06,14580,13322,22047,31704,37917,38084,39893,44938,29034,31761,51042,44895,29774,38850,44115,56040,42564,24263,42210,41115,51049,41238,56172,70556,48961
2022-03-05,13906,12677,21004,30105,35992,36257,37830,42709,27734,30247,49065,42663,28638,36978,42009,53083,40523,23156,40027,39120,48857,39643,53847,67027,46664
2022-03-04,13235,12083,19937,28467,34067,34529,35869,40356,26314,28681,46234,40268,26686,34994,39698,49946,38389,21947,37799,37026,46354,37747,51478,63423,44444
2022-03-03,12502,11448,18730,26531,32011,32404,33348,37907,24684,26989,42727,37793,24391,32684,37326,46831,36063,20303,35701,35035,43598,35290,48683,59697,41840
2022-03-02,12062,10981,17996,25179,30415,31147,32095,36059,23627,25611,41040,35378,22203,31186,35133,43883,34657,18776,34172,33478,41592,33407,46595,56673,40228
2022-03-01,11339,10299,17029,23476,28537,29198,29902,34085,22165,24300,39118,33740,21795,29277,33564,41648,32415,18334,32367,31197,38937,31666,44338,53158,37604
2022-02-28,11037,9987,16570,22563,27463,28062,28819,32749,21384,23351,37336,32670,20923,28244,31970,40429,31372,17389,30933,30483,38017,30781,42886,51471,36511
2022-02-27,10646,9703,15964,21750,26360,27138,27731,31639,20661,22436,36129,31363,20299,27079,30709,38760,30355,16870,30029,29178,36849,29595,41393,49413,35330
2022-02-26,10161,9333,15263,20564,25000,25818,26415,30152,19698,21366,34709,29761,19339,25688,29616,36647,28944,16215,28502,27832,35245,28256,39701,46669,33588
