school,sex,paid,activities,famrel,freetime,goout,Dalc,Walc,health,absences,grade,G1,G2
GP,F,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,6,5,6
GP,F,no,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5,5,5
GP,F,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,8,7,8
GP,F,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15,15,14
GP,F,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,9,6,10
GP,M,yes,yes,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15,15,15
GP,M,no,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12,12,12
GP,F,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6,6,5
GP,M,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,18,16,18
GP,M,yes,yes,5.0,5.0,,1.0,1.0,5.0,0.0,15,14,15
GP,F,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,9,10,8
GP,F,no,yes,5.0,2.0,2.0,1.0,1.0,4.0,4.0,11,10,12
GP,M,yes,yes,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14,14,14
GP,M,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10,10,10
GP,M,no,no,,5.0,2.0,1.0,1.0,3.0,0.0,15,14,16
GP,F,no,no,4.0,4.0,4.0,1.0,2.0,2.0,,14,14,14
GP,F,yes,yes,3.0,2.0,3.0,1.0,2.0,2.0,6.0,14,13,14
GP,F,no,yes,5.0,3.0,2.0,1.0,1.0,4.0,4.0,9,8,10
GP,M,no,yes,5.0,5.0,5.0,2.0,4.0,5.0,16.0,5,6,5
GP,M,yes,yes,3.0,1.0,3.0,1.0,3.0,5.0,4.0,9,8,10
GP,M,no,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,14,13,14
GP,M,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,14,12,15
GP,M,no,yes,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15,15,15
GP,M,no,yes,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13,13,13
